object_id,text,text_type,label,ai_model,validation_status
qa_1,"Mengapa semua negara yang dilewati garis katulistiwa merupakan negara berkembang?
;
Saya juga baru baca-baca hasil penelitian Jared Diamond, meskipun bukan lewat buku. Sebetulnya masih banyak faktor-faktor lain yang diuraikan oleh Jared Diamond. Ini ada websitenya kok dan akan dibuat film dokumenternya. Barangkali ada yang mau baca-baca bisa lihat ke sini: Guns Germs & Steel: The Show",qa_pair,0,human,human
qa_2,"Mengapa semua negara yang dilewati garis katulistiwa merupakan negara berkembang?
;
The power of kepepet is real :)",qa_pair,0,human,human
qa_3,"Mengapa semua negara yang dilewati garis katulistiwa merupakan negara berkembang?
;
Intinya kan alam yang keras membuat masyarakatnya berkembang kan? Nah terus apa bedanya eropa dengan afrika dan australia.. afrika juga gersang alamnya sangat keras.. begitu juga dg australia punya 4 musim dan alamnya ngeri, tapi kaum aboriginnya kalah tuh sama yang dari eropa",qa_pair,0,human,human
qa_4,"Mengapa semua negara yang dilewati garis katulistiwa merupakan negara berkembang?
;
Alasan utamanya adalah bahwa orang Aborigin tetap menjadi pemburu pengumpul, sementara perkembangan2 itu muncul di tempat2 lain hanya di masyarakat2 produsen pangan yang berpopulasi besar dan terspesialisasi secara ekonomi. Selain itu Australia yang kering, tidak subur dan iklim yang tidak bisa diprediksi membatasi jumlah populasi pada hanya beberapa ratus ribu jiwa. Dibandingkan dengan Cina atau Mesoamerika kuno yang jumlah penduduknya puluhan juta, itu bearti Australia memiliki jauh lebih sedikit potensi untuk menjadi pencipta.",qa_pair,0,human,human
qa_5,"Mengapa semua negara yang dilewati garis katulistiwa merupakan negara berkembang?
;
Sebagai tambahan, negara maju di belahan bumi utara dan selatan yang punya privilege lebih daripada Indonesia: 1. Australia berada di belahan bumi selatan punya hasil tambang yang melimpah (punya mineral lebih kaya daripada Indonesia), emas, batubara dan gas alam yang lebih melimpah daripada Indonesia. Batubara mereka kualitasnya jauh lebih baik daripada batubara Indonesia. 2. Rusia punya hasil tambang berupa sumber energi nuklir yang melimpah. Satu gram mineral nuklir-nya saja jauh lebih mahal daripada satu gram emas, tapi Indonesia tidak punya mineral nuklir sama sekali. Mereka juga punya ladang minyak yang besar. Rusia juga adalah negara dengan cadangan mineral paling banyak di dunia. 3. China punya hasil tambang berupa rare earth elements yang juga mungkin lebih mahal daripada emas kuning dan emas putih, sedangkan Indonesia juga tidak punya. Selain itu, China juga punya ladang minyak yang lumayan banyak. 4. Amerika dan Kanada yang punya lahan luas juga punya rare earth elements. Mereka juga punya batubara. 5. Jepang juga punya mineral tambang, tapi mereka lebih memilih beli dari negara lain daripada tambang sendiri, dan mereka punya hasil laut yang sangat melimpah. Lalu ada lagi ladang minyak lepas pantai. 6. Kalau negara-negara Arab sudah pasti kebanjiran ladang minyak. Jadi Indonesia bukanlah negara dengan SDA yang melimpah, juga bukan negara yang punya privilege lebih daripada negara-negara lain.",qa_pair,0,human,human
qa_6,"Mengapa semua negara yang dilewati garis katulistiwa merupakan negara berkembang?
;
Buku ini punya argumen berbeda. Posisi Geografis tidak banyak mempengaruhi kemakmuran suatu bangsa. Yang berperan adalah corak masyarakat dan pemerintahan yg dibentuk. Buku tsb membeberkan argumen, bahwa posisi geografis tidak berperan, ini pun hasil riset mendalam.",qa_pair,0,human,human
qa_7,"Mengapa semua negara yang dilewati garis katulistiwa merupakan negara berkembang?
;
Negeri tongkat kayu ditanam jadi tanaman",qa_pair,0,human,human
qa_8,"Mengapa semua negara yang dilewati garis katulistiwa merupakan negara berkembang?
;
Sejak bulan januari atau februari lalu saya lupa, Indonesia sudah termasuk kedalam negara maju. Ini saya bingung, mungkin media televisi sekarang sudah jarang digunakan tapi semoga dapat disebarkan melalui media lain agar tingkat literasi kita tidak terlihat rendah.",qa_pair,0,human,human
qa_9,"Mengapa semua negara yang dilewati garis katulistiwa merupakan negara berkembang?
;
Indonesia negara maju? Itu lebih kepada soal strategi geo politik dan ekonomi AS yg memasukan Indonesia sebagai negara kategori maju motifnya apa ? silahkan cari tahu sendiri. Tapi yang pasti begitu kamu jalan2 sedikit melihat kenyataan kehidupan masyarakat di pinggiran kota apa lagi di daerah2…. Ah sudahlah. Kamu akan tahu apa yg dicitrakan media dan kodisi realnya itu adalah berbeda!! Oh ya kamu harus ingat literasi perlu diimbangi sikap kritis.",qa_pair,0,human,human
qa_10,"Mengapa semua negara yang dilewati garis katulistiwa merupakan negara berkembang?
;
soalnya indikator yang dipake beda gan. lagi pula itu juga masih kontroversi indonesia masuk jadi negara maju. bahkan kita aja masih kalah sama malaysia, tapi malaysia masih masuk kategori negara berkembang",qa_pair,0,human,human
