"object_id","text","text_type","label","ai_model","validation_status"
"sosmed_0","Hahaha emang bner orang desa ga main saham, udah pro rakyat aja lu kritik, itu udah lama pemutihan umkm, ambruknya barusan","social_media_comment","0","human","human"
"sosmed_1","gak pernah terbayang di pikiran gua presiden indonesia dibecandain punya hubungan spesial sama ajudannya anying kocak beut ni indonesia, presiden ga ada bener2 nya diliat2","social_media_comment","0","human","human"
"sosmed_2","Aelah pantes komen2 si pro pada ""yaelah baru 100 hari, sabar"" ""dipikir presiden kayak ketua kelas"" ""mahasew4"" 🙂","social_media_comment","0","human","human"
"sosmed_3","MOT sama JOT gaada bedanya ini 48g kebanyakan janji manis anjr kek kampanye presiden","social_media_comment","0","human","human"
"sosmed_4","Layak masuk dalam daftar reshuflle 100 Hari kinerja Kabinet Presiden","social_media_comment","0","human","human"
"sosmed_5","pak .... ini contoh rakyat Indonesia yang sangat mencintai negaranya ‼️ 👍","social_media_comment","0","human","human"
"sosmed_6","Perang tarif dagang itu hanya akal akalan untuk pencitraan Prabowo seolah ada kinerjanya, padahal tarif dagang akal akalan. Hingga hari ini belum terlihat kinerjanya baik para Mentri pembantunya juga. Semua untuk menutupi kegagalan kinerjanya yg tak pernah dituntaskan, hukum dll.","social_media_comment","0","human","human"
"sosmed_7","Serius 10 tahun PDIP yg rusakin negara ini? Apa kebijakan presiden yg diatur oleh PDIP yg sampe salah banget menurut lu? Cek semua menteri selama 10 tahun apa ada kader PDIP yg posisinya sangat startegis seperti BUMN?","social_media_comment","0","human","human"
"sosmed_8","Ketua KPK pilihan Mulyono pasti akan menyerang kebijakan Prabowo. Prabowo lemah.","social_media_comment","0","human","human"
"sosmed_9","Pemerintah dan presiden prabowo serta menterinya memikirkan ekonomi kerakyatan yang bisa rakyat kecil jualan kaki lima,pasar dan rakyat indonesia bisa membeli barang dan sembako kembali ramai dan uang itu bisa berputar kembali untuk menjaga perwkonomian kita tidak terpuruk.","social_media_comment","0","human","human"
"sosmed_10","Melalui Undang-undang ini, pemerintah berupaya mengurangi birokrasi yang memperlambat pertumbuhan ekonomi","social_media_comment","0","human","human"
"sosmed_11","Gila gila nih kejaksaan agung capainnya dalam 100 hari kerja pada kabinet Merah Putih memuaskan sekali","social_media_comment","0","human","human"
"sosmed_12","Halo Simak bersama yuk video rekap 100 Hari Kerja Bersama Kabinet Merah Putih Presiden Prabowo Subianto berikut. Melangkah ke depan dengan Optimis 🇮🇩🇮🇩🇮🇩","social_media_comment","0","human","human"
"sosmed_13","Tiga gebrakan ekonomi Prabowo hadapi tarif AS: mitra dagang diperbanyak, hilirisasi SDA, konsumsi domestik lebih kuat","social_media_comment","0","human","human"
"sosmed_14","Presiden Prabowo dorong UMKM naik kelas. dukung dengan OCA Interaction Lite untuk optimalkan bisnismu.","social_media_comment","0","human","human"
"sosmed_15","haloo,butuh joki tugas? yang spessnya? hadir disini yaa! lulusan ilmu politik, spess ilmu pemerintahan, ilmu komunikasi, hubungan internasional, character building, PKN, Kewargangeraan, Bela Negara, dll yang trusted, fast work. testi 1400+","social_media_comment","0","human","human"
"sosmed_16","Keamanan nasional yang kokoh dan efisiensi tinggi kini sejajar berkat RUU TNI dengan bantuan tenaga profesional TNI Perkuat Pertahanan","social_media_comment","0","human","human"
"sosmed_17","Pada Minggu (06/04/2025), Presiden Prabowo Subianto melakukan pertemuan dengan 7 orang jurnalis dari 7 media yang berbeda di Hambalang, Jawa Barat. Melalui wawancara tersebut, Prabowo menjawab sejumlah pertanyaan seputar isu terkini.","social_media_comment","0","human","human"
"sosmed_18","Asset mega jauh lebih besar di pemerintahan khususnya di parlemen sebagai partai pemenang pemilu, ketimbang Jokowi yang hanya mewariskan gibran sebagai wapres.","social_media_comment","0","human","human"
