sep=,
"Question","Answer"
"Mengapa semua negara yang dilewati garis katulistiwa merupakan negara berkembang?","Saya juga baru baca-baca hasil penelitian Jared Diamond, meskipun bukan lewat buku. Sebetulnya masih banyak faktor-faktor lain yang diuraikan oleh Jared Diamond. Ini ada websitenya kok dan akan dibuat film dokumenternya. Barangkali ada yang mau baca-baca bisa lihat ke sini: Guns Germs & Steel: The Show"
"Mengapa semua negara yang dilewati garis katulistiwa merupakan negara berkembang?","The power of kepepet is real :)"
"Mengapa semua negara yang dilewati garis katulistiwa merupakan negara berkembang?","Intinya kan alam yang keras membuat masyarakatnya berkembang kan? Nah terus apa bedanya eropa dengan afrika dan australia.. afrika juga gersang alamnya sangat keras.. begitu juga dg australia punya 4 musim dan alamnya ngeri, tapi kaum aboriginnya kalah tuh sama yang dari eropa"
"Mengapa semua negara yang dilewati garis katulistiwa merupakan negara berkembang?","Alasan utamanya adalah bahwa orang Aborigin tetap menjadi pemburu pengumpul, sementara perkembangan2 itu muncul di tempat2 lain hanya di masyarakat2 produsen pangan yang berpopulasi besar dan terspesialisasi secara ekonomi. Selain itu Australia yang kering, tidak subur dan iklim yang tidak bisa diprediksi membatasi jumlah populasi pada hanya beberapa ratus ribu jiwa.\nDibandingkan dengan Cina atau Mesoamerika kuno yang jumlah penduduknya puluhan juta, itu bearti Australia memiliki jauh lebih sedikit potensi untuk menjadi pencipta."
"Mengapa semua negara yang dilewati garis katulistiwa merupakan negara berkembang?","Sebagai tambahan, negara maju di belahan bumi utara dan selatan yang punya privilege lebih daripada Indonesia:\n1. Australia berada di belahan bumi selatan punya hasil tambang yang melimpah (punya mineral lebih kaya daripada Indonesia), emas, batubara dan gas alam yang lebih melimpah daripada Indonesia. Batubara mereka kualitasnya jauh lebih baik daripada batubara Indonesia.\n2. Rusia punya hasil tambang berupa sumber energi nuklir yang melimpah. Satu gram mineral nuklir-nya saja jauh lebih mahal daripada satu gram emas, tapi Indonesia tidak punya mineral nuklir sama sekali. Mereka juga punya ladang minyak yang besar. Rusia juga adalah negara dengan cadangan mineral paling banyak di dunia.\n3. China punya hasil tambang berupa rare earth elements yang juga mungkin lebih mahal daripada emas kuning dan emas putih, sedangkan Indonesia juga tidak punya. Selain itu, China juga punya ladang minyak yang lumayan banyak.\n4. Amerika dan Kanada yang punya lahan luas juga punya rare earth elements. Mereka juga punya batubara.\n5. Jepang juga punya mineral tambang, tapi mereka lebih memilih beli dari negara lain daripada tambang sendiri, dan mereka punya hasil laut yang sangat melimpah. Lalu ada lagi ladang minyak lepas pantai.\n6. Kalau negara-negara Arab sudah pasti kebanjiran ladang minyak.\n\nJadi Indonesia bukanlah negara dengan SDA yang melimpah, juga bukan negara yang punya privilege lebih daripada negara-negara lain."
"Mengapa semua negara yang dilewati garis katulistiwa merupakan negara berkembang?","Buku ini punya argumen berbeda. Posisi Geografis tidak banyak mempengaruhi kemakmuran suatu bangsa.\n\nYang berperan adalah corak masyarakat dan pemerintahan yg dibentuk.\n\nBuku tsb membeberkan argumen, bahwa posisi geografis tidak berperan, ini pun hasil riset mendalam."
"Mengapa semua negara yang dilewati garis katulistiwa merupakan negara berkembang?","Negeri tongkat kayu ditanam jadi tanaman"
"Mengapa semua negara yang dilewati garis katulistiwa merupakan negara berkembang?","Sejak bulan januari atau februari lalu saya lupa, Indonesia sudah termasuk kedalam negara maju.\n\nIni saya bingung, mungkin media televisi sekarang sudah jarang digunakan tapi semoga dapat disebarkan melalui media lain agar tingkat literasi kita tidak terlihat rendah."
